YearsExperience,Education,JobRole,OrgSize,Location,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,180000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,13000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,18-24 years old,NOT PROVIDED
14,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",500 to 999 employees,Viet Nam,1200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,20 to 99 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","10,000 or more employees",Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
11,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,20 to 99 employees,Viet Nam,1200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",I don’t know,Viet Nam,130000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","10,000 or more employees",Viet Nam,56500.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,500000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,11500000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","5,000 to 9,999 employees",Viet Nam,100000.0,NOT PROVIDED,EUR European Euro,NOT PROVIDED,25-34 years old,NOT PROVIDED
16,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Blockchain,10 to 19 employees,Viet Nam,96000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",500 to 999 employees,Viet Nam,500000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
9,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,500000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
18,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",20 to 99 employees,Viet Nam,840000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",10 to 19 employees,Viet Nam,15000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",100 to 499 employees,Viet Nam,800000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,900000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,Some college/university study without earning a degree,"Developer, full-stack",100 to 499 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","5,000 to 9,999 employees",Viet Nam,870000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, game or graphics",20 to 99 employees,Viet Nam,144000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",I don’t know,Viet Nam,36000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,190000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","5,000 to 9,999 employees",Viet Nam,195000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",10 to 19 employees,Viet Nam,429000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,120000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,204000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
4,Some college/university study without earning a degree,"Developer, back-end",100 to 499 employees,Viet Nam,20000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",10 to 19 employees,Viet Nam,480000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,350000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
12,Some college/university study without earning a degree,"Developer, full-stack",10 to 19 employees,Viet Nam,400000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,NOT PROVIDED
12.0,Some college/university study without earning a degree,"Developer, back-end",,Viet Nam,7200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,NOT PROVIDED
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Less than 20 employees,Viet Nam,365389970.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
2.0,Some college/university study without earning a degree,"Developer, back-end",,Viet Nam,0.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
17.0,"Associate degree (A.A., A.S., etc.)","Developer, front-end",Less than 20 employees,Viet Nam,26000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
2.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, desktop or enterprise applications",100 to 499 employees,Viet Nam,170000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Cloud infrastructure engineer,20 to 99 employees,Viet Nam,585000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
3.0,Some college/university study without earning a degree,Student,,Viet Nam,0.0,NOT PROVIDED,USD United States dollar,NOT PROVIDED,18-24 years old,NOT PROVIDED
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",AI/ML engineer,20 to 99 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",Less than 20 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,14400000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",20 to 99 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,216000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions","1,000 to 4,999 employees",Viet Nam,780000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",500 to 999 employees,Viet Nam,350000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10.0,Some college/university study without earning a degree,"Developer, full-stack","1,000 to 4,999 employees",Viet Nam,400000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,NOT PROVIDED
14.0,Primary/elementary school,"Developer, mobile",,Viet Nam,32000.0,NOT PROVIDED,USD United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
3.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,Viet Nam,24.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
3.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,Viet Nam,0.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Support engineer or analyst,"1,000 to 4,999 employees",Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
16.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",Less than 20 employees,Viet Nam,720000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,NOT PROVIDED
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
17.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps engineer or professional,Less than 20 employees,Viet Nam,700000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,NOT PROVIDED
2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",500 to 999 employees,Viet Nam,400000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6.0,Primary/elementary school,"Developer, full-stack",,Viet Nam,0.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,250000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,12000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
Not provided,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,40000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,216000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,,Viet Nam,45000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",500 to 999 employees,Viet Nam,7000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",,Viet Nam,1484000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Cybersecurity or InfoSec professional,"10,000 or more employees",Viet Nam,120000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
7.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",AI/ML engineer,,Viet Nam,0.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",AI/ML engineer,20 to 99 employees,Viet Nam,2000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",I don’t know,Viet Nam,30.0,NOT PROVIDED,USD United States dollar,NOT PROVIDED,35-44 years old,NOT PROVIDED
5.0,Some college/university study without earning a degree,"Developer, front-end",20 to 99 employees,Viet Nam,10000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,NOT PROVIDED
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",AI/ML engineer,Less than 20 employees,Viet Nam,81600000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Academic researcher,I don’t know,Viet Nam,600000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,15000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
4.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, QA or test","1,000 to 4,999 employees",Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",20 to 99 employees,Viet Nam,550000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Academic researcher,,Viet Nam,80000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",,Viet Nam,0.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data or business analyst,"1,000 to 4,999 employees",Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,30.0,NOT PROVIDED,USD United States dollar,NOT PROVIDED,35-44 years old,NOT PROVIDED
18.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",20 to 99 employees,Viet Nam,1131000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,NOT PROVIDED
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",20 to 99 employees,Viet Nam,102000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
3.0,Some college/university study without earning a degree,"Developer, full-stack","1,000 to 4,999 employees",Viet Nam,10.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,260000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",Less than 20 employees,Viet Nam,432000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",500 to 999 employees,Viet Nam,650000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Founder, technology or otherwise",,Viet Nam,7000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
1.0,Some college/university study without earning a degree,Support engineer or analyst,,Viet Nam,100000000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,220000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist,100 to 499 employees,Viet Nam,240000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Less than 20 employees,Viet Nam,300000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
25.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions",,Viet Nam,220000.0,NOT PROVIDED,USD United States dollar,NOT PROVIDED,45-54 years old,NOT PROVIDED
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",,Viet Nam,120000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,20000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",,Viet Nam,0.0,NOT PROVIDED,EUR European Euro,NOT PROVIDED,35-44 years old,NOT PROVIDED
100.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Cloud infrastructure engineer,"10,000 or more employees",Viet Nam,100.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
44.0,Primary/elementary school,Other (please specify):,,Viet Nam,1000000000.0,NOT PROVIDED,USD United States dollar,NOT PROVIDED,35-44 years old,NOT PROVIDED
Not provided,Primary/elementary school,"Developer, AI apps or physical AI",,Viet Nam,10000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,55-64 years old,NOT PROVIDED
